6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,6sense Industry,6sense Buying Stage
ENGIE,Thailand,engie.com,$5B+,"10,000+","Energy & Utilities,Energy & Utilities",Awareness
Distribuidora Fesa,Mexico,distribuidorafesa.com,$1 - $1M,10 - 19,"Consumer Goods and Services,Consumer Goods and Services,Industrial Manufacturing,Wholesale & Distribution",Target
Aryaka,United States,aryaka.com,$100M - $250M,250 - 499,"Software,Information Technology",Awareness
US Army Fleet Support,United States,afs.army.mil,,,,Consideration
Olympia Industries Berhad,Malaysia,oib.com.my,$50M - $100M,20 - 49,"Financial Services,Real Estate, Rentals, and Leasing",Consideration
Karabece+Partner WP und StB-GmbH,Austria,karabece.com,$1M - $5M,20 - 49,Business Services,Target
University Of Lausanne - UNIL,Switzerland,unil.ch,$250M - $500M,"10,000+",Education,Awareness
Qualitest,India,qualitestgroup.com,$500M - $1B,"5,000 - 9,999","Software,Information Technology",Consideration
"Fast Enterprises, LLC",United States,fastenterprises.com,$100M - $250M,"1,000 - 4,999","Software,Information Technology",Consideration
MapmyIndia,India,mapmyindia.com,$100M - $250M,500 - 999,"Software,Information Technology,Hardware & Semiconductors",Consideration
Madeca,Portugal,madeca.pt,$10M - $25M,100 - 249,Industrial Manufacturing,Target
Ulamo groep,Netherlands,ulamo.nl,$25M - $50M,100 - 249,"Industrial Manufacturing,Financial Services,Business Services",Target
Moeck GmbH,Austria,moeck.at,$1M - $5M,0 - 9,Healthcare & Medical,Target
Athena Infonomics,India,athenainfonomics.com,$25M - $50M,100 - 249,Information Technology,Awareness
Insyres,Russia,insyres.ru,$5M - $10M,20 - 49,Information Technology,Target
河北帅康座椅有限公司,People's Republic of China,kangdi.cn,$50M - $100M,10 - 19,Industrial Manufacturing,Target
Johannes Kepler University Of Linz,Austria,jku.at,$100M - $250M,"1,000 - 4,999",Education,Consideration
Health Pharma Professional Research,Mexico,hppr.com.mx,$5M - $10M,20 - 49,"Business Services,Associations & Non Profits",Target
GINDIN Consulting,United States,gindinconsulting.com,$1 - $1M,10 - 19,"Information Technology,Software",Target
Malteser in Deutschland,Germany,malteser.de,$25M - $50M,"10,000+",Associations & Non Profits,Consideration
Clear Channel International,United States,clearchannelint.com,$25M - $50M,500 - 999,Business Services,Awareness
TAMAHO JUNIOR HIGH SCHOOL,Japan,city.chuo.yamanashi.jp,$100M - $250M,100 - 249,"Education,Education",Target
Phoenix Hotrod Company,United States,phoenixhotrods.com,$1 - $1M,0 - 9,Transportation & Logistics,Target
MANN & SCHRÖDER COSMETICS,Germany,mann-schroeder.de,$100M - $250M,500 - 999,Consumer Goods and Services,Consideration
Belgian Interregional Environment Agency,Belgium,irceline.be,$1 - $1M,0 - 9,Government,Target
Soma Urbanismo,Brazil,somaurbanismo.com.br,$5M - $10M,100 - 249,Construction & Engineering,Consideration
Alsina,Spain,alsina.com,$100M - $250M,"1,000 - 4,999",Construction & Engineering,Consideration
66degrees,United States,66degrees.com,$50M - $100M,500 - 999,Business Services,Consideration
Assam Bio Refinery Pvt Ltd,India,abrpl.co.in,$1M - $5M,20 - 49,Industrial Manufacturing,Target
AEROPORT DE NICE,France,nice.aeroport.fr,$100M - $250M,500 - 999,"Hospitality, Travel, and Recreation,Transportation & Logistics",Target
BDO USA,Philippines,bdo.com,$1B - $2.5B,"10,000+","Business Services,Financial Services",Awareness
KONKAT S.A.,Greece,konkat.gr,$25M - $50M,0 - 9,"Real Estate, Rentals, and Leasing",Consideration
OBT AG,Switzerland,obt.ch,$50M - $100M,500 - 999,"Business Services,Financial Services",Consideration
Meissner Bolte,Germany,meissnerbolte.com,$25M - $50M,250 - 499,Business Services,Awareness
DHL,Israel,dhl.com,$5B+,"10,000+",Transportation & Logistics,Awareness
Astoria Steuerberatung GmbH & Co KG,Austria,astoria.at,$1M - $5M,100 - 249,"Financial Services,Business Services",Target
HII,United States,hii.com,$500M - $1B,"5,000 - 9,999","Transportation & Logistics,Transportation & Logistics,Aerospace & Defense",Decision
CJCU,Taiwan,cjcu.edu.tw,$100M - $250M,500 - 999,Education,Awareness
AG Insurance,Belgium,ag.be,$500M - $1B,"1,000 - 4,999","Financial Services,Healthcare & Medical",Target
ITR Concession Company LLC,United States,indianatollroad.org,$25M - $50M,250 - 499,Transportation & Logistics,Decision
"A. Marques, Lda.",Portugal,amarques.pt,$5M - $10M,20 - 49,"Consumer Goods and Services,Consumer Goods and Services",Target
Storage Technologies & Automation,India,racksandrollers.com,$1 - $1M,10 - 19,Transportation & Logistics,Target
Suez,Australia,suez-nws.com,$250M - $500M,"5,000 - 9,999",Energy & Utilities,Target
Delaware State University,United States,desu.edu,$25M - $50M,500 - 999,Education,Consideration
Bellinati Perez,Brazil,bellinatiperez.com.br,$500M - $1B,"1,000 - 4,999",Business Services,Awareness
Bonnell Aluminum,United States,bonnellaluminum.com,$100M - $250M,"1,000 - 4,999",Industrial Manufacturing,Consideration
Úradu Vlády Slovenskej Republiky,Slovakia,slovensko.sk,$50M - $100M,0 - 9,Government,Awareness
Bermuda Security Agency,United States,bermudasecurityagency.com,$250M - $500M,0 - 9,Business Services,Target
UNIFORCE Technology Corporation.,Taiwan,uniforce.com.tw,$5M - $10M,100 - 249,"Information Technology,Software",Purchase
Materna,Germany,materna.de,$250M - $500M,"1,000 - 4,999","Business Services,Software,Information Technology",Consideration
DPolG Bundespolizeigewerkschaft,Germany,dpolg-bundespolizei.de,$100M - $250M,"5,000 - 9,999","Associations & Non Profits,Business Services,Consumer Goods and Services",Target
ARIC,Japan,aric.or.jp,$10M - $25M,20 - 49,Agriculture,Target
VSP Vision Care,United States,vsp.com,$2.5B - $5B,"1,000 - 4,999",Financial Services,Decision
Priority Health,United States,priorityhealth.com,$100M - $250M,"1,000 - 4,999","Financial Services,Healthcare & Medical",Consideration
NetRing,Portugal,netring.pt,$1 - $1M,0 - 9,Telecommunications,Decision
Invincible Boats,United States,invincibleboats.com,$10M - $25M,250 - 499,Transportation & Logistics,Consideration
COOTRAPELDAR,Colombia,cootrapeldar.coop,$25M - $50M,100 - 249,Financial Services,Target
TSE-T'Software Engineering,France,tse-online.fr,$1 - $1M,0 - 9,Information Technology,Target
Edelman Financial Engines,United States,edelmanfinancialengines.com,$5B+,"1,000 - 4,999",Financial Services,Purchase
Prolimp,Mexico,prolimp.com,$25M - $50M,100 - 249,"Consumer Goods and Services,Consumer Goods and Services",Target
Birmingham City University,United Kingdom,bcu.ac.uk,$250M - $500M,"1,000 - 4,999",Education,Consideration
Kuiron Leipomo Oy,Finland,kuironleipomo.fi,$1M - $5M,0 - 9,Consumer Goods and Services,Target
American Bankers Association,United States,aba.com,$100M - $250M,250 - 499,"Financial Services,Associations & Non Profits",Decision
Virtua Health,United States,virtua.org,$2.5B - $5B,"10,000+",Healthcare & Medical,Consideration
LOTTO Hamburg,Germany,lotto-hh.de,$10M - $25M,100 - 249,Media & Entertainment,Consideration
Everise,United States,weareeverise.com,$250M - $500M,"10,000+",Business Services,Consideration
"Chattem, Inc.",United States,chattem.com,$250M - $500M,500 - 999,"Consumer Goods and Services,Biotech & Pharmaceuticals",Awareness
TVains International,Colombia,tvains.com,$1M - $5M,100 - 249,"Business Services,Consumer Goods and Services",Target
"SUNBRELLA, K.K.",Japan,hikasa.jp,$1 - $1M,0 - 9,Government,Target
KATE FURBISH ELEMENTARY SCHOOL,United States,brunswicksd.org,$1 - $1M,0 - 9,Education,Consideration
Marcone & Bianchi s.r.l.,Italy,marconebianchi.com,$1 - $1M,0 - 9,"Industrial Manufacturing,Industrial Manufacturing,Construction & Engineering",Target
Rockland County Times,United States,rocklandtimes.com,$1 - $1M,0 - 9,Media & Entertainment,Target
Marie - Eve McLean Planificatrice Fin,Canada,marieevemclean.ca,,,,Target
Lincoln Public Schools,United States,lps.org,$250M - $500M,"5,000 - 9,999",Education,Consideration
National Library Board,Singapore,nlb.gov.sg,$25M - $50M,"1,000 - 4,999",Government,Consideration
GPIC,Spain,gpic.es,$5M - $10M,0 - 9,"Consumer Goods and Services,Business Services,Software,Information Technology",Awareness
RDCC Bank,India,rdccbank.com,$25M - $50M,250 - 499,Financial Services,Target
Evyap,Turkey,evyap.com,$500M - $1B,500 - 999,Consumer Goods and Services,Consideration
New Delhi Municipal Council,India,ndmc.gov.in,$10M - $25M,"1,000 - 4,999",Government,Consideration
Tally and Taxes,Canada,tallyandtaxes.com,$1 - $1M,0 - 9,Business Services,Awareness
University Of Toledo College Of Nursing,United States,utoledo.edu,$500M - $1B,"10,000+",Education,Decision
Capricot Technologies Pvt Ltd,India,capricot.com,$50M - $100M,10 - 19,Education,Awareness
Telecode Computers Ltd.,Israel,telecode.co.il,$1M - $5M,100 - 249,"Software,Hardware & Semiconductors",Awareness
"Waffle House, Inc.",United States,wafflehouse.com,$500M - $1B,"10,000+","Hospitality, Travel, and Recreation",Decision
ARKET,Italy,arket.com,$100M - $250M,500 - 999,"Consumer Goods and Services,Consumer Goods and Services",Target
Euroclear,Sweden,euroclear.com,$1B - $2.5B,"5,000 - 9,999",Financial Services,Target
Kantonspolizei Graubunden,Switzerland,gr.ch,$50M - $100M,"1,000 - 4,999",Government,Consideration
The Philippine Stock Exchange,Philippines,pse.com.ph,$25M - $50M,100 - 249,Financial Services,Decision
Panaseer,United Kingdom,panaseer.com,$5M - $10M,100 - 249,Software,Consideration
Huoltokeskus Ysiauto,Finland,ysiauto.fi,$1M - $5M,0 - 9,Automotive,Target
Market Rebellion,United States,marketrebellion.com,$1M - $5M,20 - 49,"Transportation & Logistics,Financial Services",Target
CDA Del Occidente,Colombia,cdadeloccidente.com,$5M - $10M,100 - 249,Automotive,Target
Leggett & Platt,United States,leggett.com,$2.5B - $5B,"10,000+",Consumer Goods and Services,Decision
DealerOn,United States,dealeron.com,$100M - $250M,500 - 999,Business Services,Consideration
University Of Kent,United Kingdom,kent.ac.uk,$50M - $100M,"10,000+",Education,Consideration
Nuffield Health,United Kingdom,nuffieldhealth.com,$500M - $1B,"10,000+",Healthcare & Medical,Consideration
DCM Infotech Limited,India,dcminfotech.com,$100M - $250M,250 - 499,"Software,Internet",Consideration
CLARIT,Mexico,clarit.com.mx,$1M - $5M,0 - 9,"Hospitality, Travel, and Recreation",Target
OCM,United Kingdom,ocmbiz.com,$5M - $10M,20 - 49,"Information Technology,Software,Hardware & Semiconductors",Target
Leibniz Supercomputing Centre,Germany,lrz.de,$50M - $100M,250 - 499,"Information Technology,Business Services,Software,Hardware & Semiconductors",Awareness
Duquesne Light Company,United States,duquesnelight.com,$500M - $1B,"1,000 - 4,999","Energy & Utilities,Construction & Engineering",Consideration
Seinäjoen Kaupunki,Finland,seinajoki.fi,$100M - $250M,"1,000 - 4,999",Government,Consideration
Texas A&M University - San Antonio Mays Center For Experiential Learning & Community Engagement,United States,tamusa.edu,$250M - $500M,"5,000 - 9,999",Education,Decision
Cesra Arzneimittel,Germany,cesra.com,$10M - $25M,100 - 249,Biotech & Pharmaceuticals,Target
DaNang Power Company Limited,Vietnam,cpc.vn,$250M - $500M,500 - 999,Energy & Utilities,Consideration
Aioi Insurance Services USA,United States,aioiusa.com,$1M - $5M,20 - 49,Financial Services,Target
Wonder Cement Ltd.,India,wondercement.com,$250M - $500M,"1,000 - 4,999",Construction & Engineering,Decision
Swiggy,India,swiggy.com,$500M - $1B,"10,000+","Hospitality, Travel, and Recreation,Transportation & Logistics",Consideration
Universidad Del Norte,Brazil,uninorte.edu.co,$500M - $1B,"5,000 - 9,999",Education,Target
Brazilian Army,Brazil,eb.mil.br,$25M - $50M,"10,000+",Government,Decision
MobiKwik,India,mobikwik.com,$50M - $100M,"1,000 - 4,999",Financial Services,Consideration
University College Dublin,Ireland,ucd.ie,$500M - $1B,"5,000 - 9,999",Education,Consideration
Forth EMS Public Company,Thailand,forth-ems.com,$100M - $250M,500 - 999,Consumer Goods and Services,Target
Brady Air Conditioning Svc,United States,bradyair.com,$1M - $5M,0 - 9,"Construction & Engineering,Construction & Engineering,Consumer Goods and Services",Awareness
RBPI Group,Russia,rbpi.pro,$10M - $25M,0 - 9,Consumer Goods and Services,Awareness
TEK4GOV,United States,tek4gov.com,$1M - $5M,0 - 9,"Business Services,Information Technology",Target
VMware,India,vmware.com,$5B+,"10,000+",Software,Decision
NCC Group,United States,nccgroupplc.com,$250M - $500M,"1,000 - 4,999","Software,Information Technology,Hardware & Semiconductors",Awareness
Ozinga,United States,ozinga.com,$250M - $500M,"1,000 - 4,999",Industrial Manufacturing,Decision
Amatech,Mexico,amatech.com.mx,$10M - $25M,500 - 999,Business Services,Consideration
WALO,Canada,walo.app,$1M - $5M,20 - 49,Financial Services,Target
Slater & Gordon Lawyers,United Kingdom,slatergordon.co.uk,$250M - $500M,"1,000 - 4,999",Business Services,Consideration
Jewish Federation of Greater Indianapolis,United States,jewishindianapolis.org,$10M - $25M,20 - 49,Associations & Non Profits,Decision
Al Shirawi Group,United Arab Emirates,alshirawi.com,$500M - $1B,"5,000 - 9,999",Business Services,Awareness
Columbia College,United States,ccis.edu,$50M - $100M,"1,000 - 4,999",Education,Awareness
Pillar Innovations,United States,pillarinnovations.com,$100M - $250M,500 - 999,"Industrial Manufacturing,Energy & Utilities,Construction & Engineering",Consideration
Information Management Systems,United States,imsnetworking.com,$1M - $5M,0 - 9,Business Services,Awareness
OPmobility SE,France,opmobility.com,$500M - $1B,"10,000+",Automotive,Awareness
Clark College,United States,clark.edu,$250M - $500M,500 - 999,Education,Consideration
L.E.K. Consulting,United States,lek.com,$2.5B - $5B,"1,000 - 4,999",Business Services,Consideration
Vincilium,India,vincilium.com,$5M - $10M,20 - 49,"Information Technology,Software",Awareness
Chase,United States,chase.com,$5B+,"10,000+","Business Services,Financial Services",Decision
Dun & Bradstreet,Japan,dnb.com,$1B - $2.5B,"5,000 - 9,999","Business Services,Financial Services,Information Technology,Software",Target
ALSA REGENCY,India,labindia.com,$50M - $100M,500 - 999,Industrial Manufacturing,Awareness
INSTITUT ZA STANDARDIZACIJU SRBIJE,Serbia,iss.rs,$1M - $5M,100 - 249,Government,Target
Freitag Laboratórios,Brazil,freitag.com.br,$25M - $50M,100 - 249,"Healthcare & Medical,Associations & Non Profits",Decision
Land Transport Authority Singapore,Singapore,lta.gov.sg,$500M - $1B,"5,000 - 9,999",Government,Decision
Skyone,Brazil,skyone.solutions,$25M - $50M,500 - 999,"Software,Information Technology",Consideration
International Petroleum Corp,Canada,international-petroleum.com,$1M - $5M,100 - 249,Energy & Utilities,Target
Casino Sopron,Hungary,casinosopron.hu,$10M - $25M,100 - 249,"Media & Entertainment,Hospitality, Travel, and Recreation",Consideration
Nutritsiya Edvans OOO,Russia,nutricia-medical.ru,$1 - $1M,100 - 249,Consumer Goods and Services,Target
Coty,United States,coty.com,$5B+,"10,000+","Consumer Goods and Services,Industrial Manufacturing",Consideration
ES2,Australia,es2.com.au,$5M - $10M,100 - 249,Business Services,Consideration
1894 Lodge,United States,the1894lodge.com,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
SozialBank,Germany,sozialbank.de,$100M - $250M,250 - 499,Financial Services,Target
China BaoChen INS,People's Republic of China,baochencn.com,,,,Target
"Golden West Diagnostics, LLC",United States,goldenwestdiagnostics.com,$1M - $5M,20 - 49,Biotech & Pharmaceuticals,Target
"Affiliated Engineers, Inc.",United States,aeieng.com,$100M - $250M,500 - 999,Business Services,Awareness
Santee Cooper,United States,santeecooper.com,$5B+,"1,000 - 4,999",Energy & Utilities,Decision
Al Ansari Exchange,United Arab Emirates,alansariexchange.com,$100M - $250M,"1,000 - 4,999",Financial Services,Decision
INSTITUTO DE HEMOTERAPIA SIRIO LIBANES,Brazil,hospitalsiriolibanes.org.br,$500M - $1B,"5,000 - 9,999",Healthcare & Medical,Awareness
Marriott,Israel,marriott.com,$5B+,"10,000+","Hospitality, Travel, and Recreation",Target
SmarTone,People's Republic of China,smartone.com,$500M - $1B,"1,000 - 4,999","Telecommunications,Business Services",Decision
Bollore,France,bollore.com,$5B+,"10,000+","Transportation & Logistics,Transportation & Logistics,Media & Entertainment",Awareness
Abionic,Switzerland,abionic.com,$1M - $5M,20 - 49,"Healthcare & Medical,Healthcare & Medical,Biotech & Pharmaceuticals",Target
EKZ,Switzerland,ekz.ch,$5B+,"1,000 - 4,999","Energy & Utilities,Industrial Manufacturing,Industrial Manufacturing",Awareness
Blue Door Mortgage,United States,bluedoormortgage.com,$10M - $25M,0 - 9,"Real Estate, Rentals, and Leasing",Target
"Henderson Brothers, Inc.",United States,hendersonbrothers.com,$25M - $50M,100 - 249,Financial Services,Consideration
Emirates International School,United Arab Emirates,eischools.ae,$25M - $50M,500 - 999,"Education,Education",Awareness
Zalog Uspeha,Russia,zu.ru,$25M - $50M,100 - 249,Consumer Goods and Services,Target
Rakennusliike Halonen Oy,Finland,rkl-halonen.fi,$10M - $25M,0 - 9,Construction & Engineering,Target
Capital Management Engineering,Canada,cmel.ca,$1M - $5M,20 - 49,"Business Services,Construction & Engineering",Awareness
Immaculata University,United States,immaculata.edu,$25M - $50M,500 - 999,Education,Consideration
Inteligo Group,Peru,inteligogroup.com,$10M - $25M,100 - 249,Financial Services,Decision
Arizona Public Service - APS,United States,aps.com,$2.5B - $5B,"5,000 - 9,999",Energy & Utilities,Consideration
Oy Welding & Cutting Center Finland Co,Finland,teknoexpertit.fi,$1M - $5M,0 - 9,"Industrial Manufacturing,Construction & Engineering",Target
Premium Health Center,United States,premiumhealth.org,$25M - $50M,100 - 249,Healthcare & Medical,Purchase
Hard Rock International,United States,hardrock.com,$500M - $1B,"10,000+","Hospitality, Travel, and Recreation",Decision
Gen Pharmaceuticals,Turkey,genilac.com.tr,$50M - $100M,500 - 999,Biotech & Pharmaceuticals,Awareness
TSM Consultancy,Singapore,tsmconsultancy.com,$5M - $10M,20 - 49,"Construction & Engineering,Construction & Engineering",Target
Defense Commissary Agency,United States,commissaries.com,$500M - $1B,"10,000+",Internet,Consideration
maxisiq.dev,United States,maxisiq.dev,,,Software,Target
Bunge,Argentina,bunge.com,$5B+,"10,000+","Agriculture,Consumer Goods and Services",Consideration
Finanstilsynet,Norway,finanstilsynet.no,$50M - $100M,250 - 499,Government,Awareness
MRO,United States,mrocorp.com,$50M - $100M,"1,000 - 4,999","Healthcare & Medical,Software",Consideration
Fantastic IT Solutions,United States,fantasticit.com,$1M - $5M,20 - 49,"Software,Information Technology,Hardware & Semiconductors",Decision
Agricola de Servicios,Mexico,agricoladeservicios.com,$25M - $50M,100 - 249,Agriculture,Target
"Decor Design Center, Inc.",United States,decordesignonline.com,$1 - $1M,0 - 9,Consumer Goods and Services,Target
VICTUS Networks,Greece,victus.gr,$50M - $100M,250 - 499,"Telecommunications,Hardware & Semiconductors",Target
GTK,Australia,gtk.com.au,$5M - $10M,100 - 249,"Consumer Goods and Services,Healthcare & Medical,Associations & Non Profits",Target
Nviron Ltd,United Kingdom,nviron.co.uk,$5M - $10M,20 - 49,"Information Technology,Software",Decision
Trimble Inc.,India,trimble.com,$2.5B - $5B,"10,000+",Hardware & Semiconductors,Consideration
Generix,France,generixgroup.com,$100M - $250M,500 - 999,Media & Entertainment,Decision
Touchsides,South Africa,touchsides-website.com,$10M - $25M,100 - 249,"Consumer Goods and Services,Business Services,Business Services,Information Technology,Software",Consideration
Domtar,Canada,domtar.com,$2.5B - $5B,"10,000+",Business Services,Decision
2Oggle,Ecuador,x.com,$500M - $1B,"10,000+","Hospitality, Travel, and Recreation,Consumer Goods and Services,Construction & Engineering,Business Services,Construction & Engineering,Healthcare & Medical",Target
Rede Chambers,People's Republic of China,redechambers.com,$1M - $5M,20 - 49,Business Services,Target
Zomato,India,zomato.com,$500M - $1B,"1,000 - 4,999",Internet,Decision
Accenture,India,accenture.com,$5B+,"10,000+","Business Services,Information Technology,Software",Purchase
Katholische Hochschule Freiburg,Germany,kh-freiburg.de,$1M - $5M,100 - 249,Education,Consideration
Sardar Vallabhbhai Sahakari Bank,India,sardarbank.com,$1 - $1M,20 - 49,Financial Services,Target
Reverb,United States,reverb.com,$25M - $50M,250 - 499,Media & Entertainment,Consideration
Hornets,United States,nba.com/hornets,$250M - $500M,100 - 249,"Media & Entertainment,Hospitality, Travel, and Recreation",Consideration
Tamminen,Finland,tamminen.fi,$50M - $100M,100 - 249,"Consumer Goods and Services,Business Services",Target
"City Of Bedford, TX",United States,bedfordtx.gov,$25M - $50M,100 - 249,Government,Consideration
Maryknoll Fathers,United States,maryknoll.org,$25M - $50M,250 - 499,Associations & Non Profits,Consideration
Omaha Public Schools,United States,ops.org,$500M - $1B,"5,000 - 9,999","Education,Government",Decision
RZADOWE CENTRUM LEGISLACJI,Poland,rcl.gov.pl,$1 - $1M,100 - 249,Government,Consideration
Singapore Ministry Of Health,Singapore,moh.gov.sg,$50M - $100M,"1,000 - 4,999",Government,Decision
Morguard,Canada,morguard.com,$1B - $2.5B,"1,000 - 4,999","Financial Services,Real Estate, Rentals, and Leasing,Construction & Engineering",Decision
Matheson LLP,United Kingdom,matheson.com,$100M - $250M,500 - 999,Business Services,Target
Zhong Ou Asset Management,People's Republic of China,zofund.com,$50M - $100M,20 - 49,Financial Services,Target
Bramden Precision,Canada,bramdenprecision.com,$1M - $5M,20 - 49,Aerospace & Defense,Target
Gemeente Rotterdam,Netherlands,rotterdam.nl,$50M - $100M,"10,000+",Government,Consideration
Sea Pearl Seafood,United States,sea-pearl.com,$5M - $10M,20 - 49,Consumer Goods and Services,Target
Mount Garrison,France,christianmingle.com,$5M - $10M,20 - 49,"Business Services,Business Services,Software",Awareness
Pacific Islands Forum,New Zealand,forumsec.org,$5M - $10M,100 - 249,Government,Target
Kiertokapula,Finland,kiertokapula.fi,$25M - $50M,100 - 249,"Energy & Utilities,Energy & Utilities",Target
NetSPI,United States,netspi.com,$100M - $250M,500 - 999,"Software,Information Technology",Decision
E.P.F. DE TOURS METROPOLE VAL DE LOIRE,France,tours-metropole.fr,$25M - $50M,"1,000 - 4,999",Government,Consideration
Industrybuying,India,industrybuying.com,$50M - $100M,250 - 499,"Consumer Goods and Services,Construction & Engineering",Awareness
Lean Solutions Group,Colombia,leangroup.com,$500M - $1B,"5,000 - 9,999",Business Services,Consideration
Taashee Linux Services,India,taashee.com,$25M - $50M,250 - 499,"Software,Information Technology,Hardware & Semiconductors",Consideration
Serena & Lily,United States,serenaandlily.com,$50M - $100M,250 - 499,Consumer Goods and Services,Consideration
Prax,United Kingdom,prax.com,$100M - $250M,"1,000 - 4,999",Energy & Utilities,Consideration
Grupo J. Sleiman,Brazil,dagdistribuidor.com.br,$100M - $250M,500 - 999,Consumer Goods and Services,Target
KKBOX,Taiwan,kkbox.com,$100M - $250M,250 - 499,Media & Entertainment,Consideration
Mawson Constructions,Australia,mawsonconstructions.com.au,$5M - $10M,0 - 9,"Construction & Engineering,Construction & Engineering",Target
Missouri Botanical Garden,United States,missouribotanicalgarden.org,$50M - $100M,250 - 499,"Hospitality, Travel, and Recreation,Consumer Goods and Services",Consideration
Jumbo Tours,Spain,jumbotours.com,$50M - $100M,250 - 499,"Hospitality, Travel, and Recreation,Business Services",Target
Panoramic Software,United States,panosoft.com,$1M - $5M,20 - 49,Software,Decision
DataStax,United States,datastax.com,$500M - $1B,500 - 999,Software,Decision
Skanska,United Kingdom,skanska.com,$5B+,"10,000+",Construction & Engineering,Consideration
Dataico,Colombia,dataico.com,$5M - $10M,20 - 49,"Software,Information Technology",Target
Evolving Systems,India,evolving.com,$50M - $100M,250 - 499,Software,Consideration
Oscar Heyman,United States,oscarheyman.com,$5M - $10M,20 - 49,"Industrial Manufacturing,Consumer Goods and Services",Awareness
Chatsworth Products,United States,chatsworth.com,$100M - $250M,250 - 499,"Industrial Manufacturing,Industrial Manufacturing",Consideration
Town Of Holly Springs,United States,hollyspringsnc.gov,$50M - $100M,250 - 499,Government,Consideration
DYNAMIC COMPUTER MARKETING ENTERPRISES Pvt Ltd,India,dynamicgroup.in,$50M - $100M,250 - 499,"Industrial Manufacturing,Software",Consideration
Landkreis Spree,Germany,lkspn.de,$10M - $25M,20 - 49,Government,Consideration
University Of New Haven,United States,newhaven.edu,$500M - $1B,"1,000 - 4,999",Education,Decision
Kanton Thurgau,Switzerland,tg.ch,$500M - $1B,"1,000 - 4,999",Government,Consideration
National Securities Depository Limited,India,nsdl.co.in,$50M - $100M,500 - 999,Financial Services,Awareness
Standard Media Group,United States,standardmedia.com,$10M - $25M,250 - 499,Media & Entertainment,Awareness
Stockholm Vatten och Avfall,Sweden,stockholmvattenochavfall.se,$250M - $500M,500 - 999,Energy & Utilities,Awareness
Olimpia Splendid,Italy,olimpiasplendid.it,$10M - $25M,100 - 249,Industrial Manufacturing,Target
K&N Engineering,Poland,knfilters.com,$100M - $250M,500 - 999,Automotive,Target
OAO Omega Center,Russia,center-omega.ru,$250M - $500M,20 - 49,Construction & Engineering,Target
Pittcon Conference + Exposition,United States,pittcon.org,$5M - $10M,20 - 49,Associations & Non Profits,Consideration
Marwood Group,United States,marwoodgroup.com,$50M - $100M,100 - 249,"Financial Services,Business Services",Decision
Arztekammer Niedersachsen,Germany,aekn.de,$1 - $1M,20 - 49,"Associations & Non Profits,Business Services,Consumer Goods and Services",Target
The Austrian Institute For International Affairs,Austria,oiip.ac.at,$1 - $1M,20 - 49,"Government,Associations & Non Profits,Media & Entertainment",Target
Centre For Infectious Disease Research In Zambia,South Africa,cidrz.org,$25M - $50M,"1,000 - 4,999",Healthcare & Medical,Consideration
Aristagora VC,Israel,aristagoravc.com,$1 - $1M,0 - 9,"Financial Services,Financial Services",Target
Diligent Global,India,diligentglobal.com,$100M - $250M,250 - 499,Business Services,Consideration
Landkreis Eichstätt,Germany,landkreis-eichstaett.de,$10M - $25M,500 - 999,"Government,Business Services",Target
Lendi,Australia,lendi.com.au,$25M - $50M,250 - 499,Financial Services,Consideration
Corporativo Centro Occidente SC,Mexico,corporativo-cco.mx,$250M - $500M,250 - 499,Business Services,Awareness
Elsevier,United States,elsevier.com,$5B+,"10,000+","Internet,Media & Entertainment",Decision
Guabi,Brazil,guabi.com.br,$100M - $250M,500 - 999,"Consumer Goods and Services,Agriculture",Awareness
MAPS Disruptivo,Mexico,maps.com.mx,$25M - $50M,100 - 249,"Software,Hardware & Semiconductors",Purchase
CARFAX,United States,carfax.com,$100M - $250M,"1,000 - 4,999","Business Services,Consumer Goods and Services,Information Technology,Software",Consideration
F.T.K. Solutions,Israel,ftks.co.il,$10M - $25M,100 - 249,Industrial Manufacturing,Target
Valencia College,United States,valenciacollege.edu,$50M - $100M,"5,000 - 9,999",Education,Decision
Hitner,Israel,hitner.co.il,,,,Target
Bettendorf Community School District,United States,bettendorf.k12.ia.us,$25M - $50M,500 - 999,Education,Consideration
Paulitec,Brazil,paulitec.com.br,$1M - $5M,0 - 9,Construction & Engineering,Target
ARBETSMILJOVERKET,Sweden,av.se,$100M - $250M,500 - 999,Government,Awareness
El Comercio,Peru,elcomercio.pe,$250M - $500M,250 - 499,Media & Entertainment,Consideration
Hydropure,Belgium,hydropure.be,$1M - $5M,0 - 9,"Industrial Manufacturing,Construction & Engineering",Target
Renfe,Spain,renfe.com,$500M - $1B,"10,000+",Transportation & Logistics,Decision
Linear,Germany,linear.eu,$1M - $5M,100 - 249,Software,Awareness
Westerdals Oslo ACT,Norway,kristiania.no,$100M - $250M,500 - 999,Education,Consideration
Elementia,Mexico,elementia.com.mx,$500M - $1B,"5,000 - 9,999",Construction & Engineering,Decision
Inframark,United States,inframark.com,$500M - $1B,"1,000 - 4,999","Energy & Utilities,Business Services,Associations & Non Profits",Decision
SHED,Canada,shedmtl.com,$5M - $10M,20 - 49,Media & Entertainment,Consideration
Dale Carnegie Training,United States,dalecarnegie.com,$500M - $1B,"1,000 - 4,999",Education,Consideration
