company,example_job_title,example_job_url,location,source
Kratos Canada,Quality Manager,https://www.workopolis.com/jobsearch/viewjob/l4eQqt7Ae3jckMVeFs9Kc7-Vyr_0qOIUwnD6TMJpmI4R8p2s47ppDTx1Wovhy4Tv,"Whitby, ON",Workopolis
Gameloft Montr??al,[Disney Dreamlight Valley] Testeur(-euse) QA Int??gr?? Junior / Junior QA Embedded Tester,https://www.workopolis.com/jobsearch/viewjob/ICF7BKVkOcsIS6MabSCzQ_W8QkIbfgRtDY5JuqQSaXdvHT2M_-33fhQpU8q-7SVw,"Montr??al, QC",Workopolis
Harlow Payments,Quality Assurance Specialist,https://www.workopolis.com/jobsearch/viewjob/OSBkH0UEo2jGEo5H0tjrNzspvHB7BQR-lVHInRlqrJZF7Kdis_19EefYNalxGZeG,"Montr??al, QC",Workopolis
Method Integration Inc.,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/Kg2oKvDTfc_ydCWwfaXRkyoUyNLIJRxOawb_VdHRSs7zU27_Is6T8ayoMH97zQbg,"Toronto, ON",Workopolis
Veeva Systems,Associate QA Engineer,https://www.workopolis.com/jobsearch/viewjob/Ad6TZEbZl8PgpLE_TqAxL1IjRpk5UCyvVlSlFz6H5SbbG2SqnU61sBvN617l5xMk,"Toronto, ON",Workopolis
TD Bank,Quality Engineer I,https://www.workopolis.com/jobsearch/viewjob/b7CmPfcxRX40mclDqAvkmLO_gs9pFTMCH6sq_HuJLf2GI3y5CvRoZy4SVlarHxh3,"Toronto, ON",Workopolis
Triumph Group of Companies,Quality Control Supervisor,https://www.workopolis.com/jobsearch/viewjob/pyvRs3OMdZ4OOlmV_Lmg6W6bZx10q8jpOgRs76zjdyoCEAQ1NjEWvRVt70W_7Qmz,"Mississauga, ON",Workopolis
INNOCON INC,Quality Control Technician Level 1,https://www.workopolis.com/jobsearch/viewjob/mkfgVImz3GV0APzMIpfnAae5-3JhVcLalcoJJNqez3bFZj6wZK3gMZDBD74R8jFn,"Richmond Hill, ON",Workopolis
Flexspring,QA Automation Engineer Co-op,https://www.workopolis.com/jobsearch/viewjob/WTXaOBUo4phQh_Axv0usysxoCS86oF3vuQ2kx87fX2LSZFuk4wJyYbBJJRJi1tXD,"Montr??al, QC",Workopolis
Livingston International,IT QA Analyst- SmartBorder,https://www.workopolis.com/jobsearch/viewjob/VdperMpSCwZiX4i7fWmDZrRtznbS3T6HSKIQFY4dVSvc1UyPbTXcInEIe6p2Inpm,"Toronto, ON",Workopolis
IKO Industries Ltd.,Senior QA Analyst,https://www.workopolis.com/jobsearch/viewjob/BHKRGd7sGXoAHuh-J63ucr28vtTccEgRec5fXShAiAM0nZGfM2YS50rSYurtuGq8,"Mississauga, ON",Workopolis
Bankjoy,Quality Assurance Analyst,https://www.workopolis.com/jobsearch/viewjob/UA40nNaYK5tSAbgK-pD9e2IueFtZaLSVA8dj0euAIq6LbpAHg1xoc2AO5v511gCe,Canada,Workopolis
Scotiabank,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/G-xjaeKUBMMXv8oJv3LBSvPiv-ZtoxorUBAFVK9jCjNHAh5zzefscJrT6-TccmSU,"Toronto, ON",Workopolis
Ministry of Public and Business Service Delivery and Procurement,Test Lead,https://www.workopolis.com/jobsearch/viewjob/eMekus1SuN2NuoiFtxyfRs7oPaUIpmenPJDthxfBGcmR_sWKO7Y55aKmB8s6Twha,"North York, ON",Workopolis
Siltech Corporation,Quality Management Systems Lead,https://www.workopolis.com/jobsearch/viewjob/D4jsvCSo09C1C1VKHkVqC9htSq7s653R0PsJzJ1VIKu60Nf_lIjvnzDsd8zEOh89,"Mississauga, ON",Workopolis
Auxly Cannabis,QA Validations Specialist,https://www.workopolis.com/jobsearch/viewjob/FKKoIuLNrnYboxRbQUgK8WK7g_QVUTX5lxYe_OQ2m1GvgKtOHokPabuq6Ohq5fl0,"Staples, ON",Workopolis
FabStation,Senior Sortware Quality Assurance Engineer,https://www.workopolis.com/jobsearch/viewjob/x1NFSBQzC2MWEMP29ooZ4xTHQLUC-t3uFNDSEBtXOuGG9L9RwAlCzwPXescOldHY,Remote,Workopolis
Credit Genie,QA Engineering Manager,https://www.workopolis.com/jobsearch/viewjob/3EwIsePt3WS37d-0BViRPFzDdNi4fhA_lwAG4D5DxHIMOKlFExxgUVzO1m2n6C_B,"Toronto, ON",Workopolis
Cloud 3D Print,QA Tester,https://www.workopolis.com/jobsearch/viewjob/jzw4YtW5o0StsQ1EZm9tEz4bM54vEgWoCx_7KO4ac1U3Hhx1ttSNHGGHjbXjFK7O,"Vaughan, ON",Workopolis
AMG METALS,Quality Specialist,https://www.workopolis.com/jobsearch/viewjob/_yXFhgib84PE5VIjnqjzq0441CxKEHe5ZngbpzTjEI5nGjw0iqQfQ5ET7hmeSMP6,"Sharon, ON",Workopolis
Bioriginal Food and Science,Warehouse Quality Inspector,https://www.workopolis.com/jobsearch/viewjob/JBY-FirFKPzFPWg7k3xAvRAwbddXrxF1cz3m-Y1pv2xkCABacaxNVo9NID5NBW-q,"Saskatoon, SK",Workopolis
Infoblox,Software QA Engineer,https://www.workopolis.com/jobsearch/viewjob/k3WeCiChebudGkzkFvhh9TWY6qWunHa_D83OfFx3yZntYrLxuM0jJqROysvt106Q,"Burnaby, BC",Workopolis
Fabled Solutions Ltd.,Quality Assurance Specialist,https://www.workopolis.com/jobsearch/viewjob/Wwjcxasb7vMNv2YxvKT9OVr9n3fesV7J6BVyrhSaDbM8Y3UFc2HXseOvbyAH_IGP,Remote,Workopolis
Micromart,Software QA Engineer,https://www.workopolis.com/jobsearch/viewjob/hVajL-j-7-m86JvKSx4iCnWPs4uTaS8OC7E-5f2hX6FZiikZwZTHJ2P74vpUpuo9,"Toronto, ON",Workopolis
Antech Plastics,quality assurance (qa) technician,https://www.workopolis.com/jobsearch/viewjob/6CMKxEVjezMWr9aLltg31R040wXa8KDciXkAEkg35I-v6GEgxXFXEpOM7Hjrr1C4,"Woodbridge, ON",Workopolis
CAPCO,QA Automation Engineer - hybrid Calgary ** numerous openings at all levels **,https://www.workopolis.com/jobsearch/viewjob/jqwMCkBf2LP0BuQzwErUdWNTsI5LnDPIOjB0hx5YMcK2BG7KzO2-KG1Nzv8385mH,"Calgary, AB",Workopolis
Lynch Fluid Controls Inc.,Quality Inspection,https://www.workopolis.com/jobsearch/viewjob/ccEPboe-Jgm4KWBhpdWRr3nEDFkU4DrTmuyWsCY2wXk_dZrr_PBLKPJJWEnw9AEJ,"Mississauga, ON",Workopolis
"Infinity, a Stamford Technology Company",QA Tester,https://www.workopolis.com/jobsearch/viewjob/C7Yw1FQ_zTmvs9P9FNJFZI4o9XdWmYbg6PgQK4XsZfcNbfb_N1xihLmx_6WBEXkS,"Toronto, ON",Workopolis
ASICS Apps,QA Automation Engineer,https://www.workopolis.com/jobsearch/viewjob/6J2t5_eEOMbgOS3IQZJfw3CpNwMX4PTSjyeXJ9nmcqWgX-wolV5emh26bl-yGa4I,"London, ON",Workopolis
Cala Sourcing Solutions LLC,Quality Assurance Manager - Manufacturing Industry,https://www.workopolis.com/jobsearch/viewjob/rngyE6KeMj2hL2yhVN7L9R0_31mMAmJkHV5bdhZOjaRQJpEqs6PY941Uo3r7YWRq,"Huntsville, ON",Workopolis
Dimachem Inc,Quality Engineer,https://www.workopolis.com/jobsearch/viewjob/tZ918wz_UzveE21hN_30Uqd-Yn82hZdNhCB-R9vq5Z5f-7Nh1a30hy3Es66c-4w2,"Windsor, ON",Workopolis
Infocodec Solutions,SAP QA Consultant,https://www.workopolis.com/jobsearch/viewjob/yDfdA167E1HgK9BxKN6jWEJPKswnwtbXloy6FIF9kfhpC0oSenbNzFySE0CQatd0,Remote,Workopolis
CEVALogistics,Quality Specialist,https://www.workopolis.com/jobsearch/viewjob/kSJks_jdMhuONY8eqdzi6Y1rjba7i2wfsDz4AVz4qJ6_9GtkupsL2dm-PG8Tidml,"Mississauga, ON",Workopolis
Linen Chest,Quality Assurance Specialist,https://www.workopolis.com/jobsearch/viewjob/-AgEQKsWrNJN4kRuGbQWflcn8GtHNBWGf68YR079PuUJCyJyEKahO3Bip_POmGJH,"Laval, QC",Workopolis
Eagle Analytical,Quality Specialist,https://www.workopolis.com/jobsearch/viewjob/SaBLLkiFv3qFnD66Z8QYAPybxOFDGR2izSp-Ziv_Wj61fOyAXohObW2R1Z6R98LV,"London, ON",Workopolis
NYRC,Quality Assurance Coordinator,https://www.workopolis.com/jobsearch/viewjob/cyC7V1lXHyBwhtETfkJUQfpKFv-iOVwD209XEkBxiXBnU41VTbby1YGDJbD_y1HS,"Toronto, ON",Workopolis
Apollo Health And Beauty Care,Quality Assurance Manager,https://www.workopolis.com/jobsearch/viewjob/bGJ6xPydCCgybQEC7aXaCyRm8GIlvraIl98EyckhVMynmnlPs93eaSP8RclfO0UF,"Toronto, ON",Workopolis
Amphenol Technical Products International Co.,QA (quality assurance) engineer,https://www.workopolis.com/jobsearch/viewjob/_HeVXTRJlfaGZvIOjpdCNhjHiJWqgCB-SO5EyaT2dkMmSoS9hN-33PJ_ImDwGSdj,"Winnipeg, MB",Workopolis
Rentsync,Integrations Support & Quality Analyst,https://www.workopolis.com/jobsearch/viewjob/w-bAqrPsTVFhI8WroXa4z1ClBJPK91_GT67WeOtEpHcScD7Up1kLScwW8_WmnkuN,"St. Catharines, ON",Workopolis
Flanagan Foodservice,Food Safety Specialist,https://www.workopolis.com/jobsearch/viewjob/vJwwem2OsMLtMv7i9ilWgvsDewJAMEDcVrTDWkWrErlf1xd2APH99D7F6u2GwWav,"Whitby, ON",Workopolis
Agilent Technologies Inc.,Quality Assurance Associate,https://www.workopolis.com/jobsearch/viewjob/LcJsUjdNcJT9968EoSUhGtgnK4EF4YAGYRwvuYpIaLDgsw1VIiJZon5uqTPQNh26,"Windsor, NS",Workopolis
Barry Callebaut,QA Lab Technician,https://www.workopolis.com/jobsearch/viewjob/uC_UXOa-PRhjaCOVcYr0rU8PO9llXNa1q_LUOYydVTK8cB7MtrR1Szy3toOGEcS_,"Chatham-Kent, ON",Workopolis
Kardium Inc.,Quality Assurance Specialist (Hybrid),https://www.workopolis.com/jobsearch/viewjob/w7a9NyNcyPExFU_8m5zWmmj-Wt5vMUAyc0FSzCnQEY7ILmZkIL4NU7ubesmckj8t,"Burnaby, BC",Workopolis
TTC Global,Senior Software QA Engineer,https://www.workopolis.com/jobsearch/viewjob/juttpxVRCwPyMGVw_j7_3fJs84QKfxNbaweE6F1HwkZT3uvuGQkEfcmtRbZt307j,"Montr??al, QC",Workopolis
Westland Insurance Ltd.,"Manager, Quality Assurance",https://www.workopolis.com/jobsearch/viewjob/RNiUrXSej7N_3gIdUIQi75DHFdTzdrevcPwpNPb2A9RKwTtIgfZfN3jxLIDWVDFM,"Surrey, BC",Workopolis
Minth North America,Quality System Coordinator,https://www.workopolis.com/jobsearch/viewjob/3N0otI_kPgEbb10Rf2U1gpSxE9EPbSlrxSU_vWjDNnDu-UnHlnT63mYMr5CWk5J_,"Windsor, ON",Workopolis
Citi,Quality Analyst,https://www.workopolis.com/jobsearch/viewjob/ar-L8D5MPdg39CRNcNerBlegXT01xKX8tLKXO4nrr0e60xjShLH2hGe32xLKTv5n,"Mississauga, ON",Workopolis
IMT CORPORATION,Quality Supervisor,https://www.workopolis.com/jobsearch/viewjob/0ppekkNjiUsSf7NVyPianA0GDz-TzhJP90rAgbcUspR6fTLPTBc8m2iaS1VvFk44,"Ingersoll, ON",Workopolis
Solink,Senior QA Automation Engineer,https://www.workopolis.com/jobsearch/viewjob/BsnTkGrvRCrBRg9zjTN4AF5j3Yl1bxbLldr_53T3LSk98000etNDAvXgjFzG_kD4,"Ottawa, ON",Workopolis
NORARC AND NORMEX,QA-QC Coordinator ??? Full Time,https://www.workopolis.com/jobsearch/viewjob/Rw154VXOi0vtZaX2lWRDBjrqZn3P5SnleIGAcIO_Gz7SHpQMyaTdbQVFL9l6KYPx,"Earlton, ON",Workopolis
Reid's Dairy Company Ltd.,Quality Assurance Technician (Full-time),https://www.workopolis.com/jobsearch/viewjob/qS9UsYax7yBJpr8HXrP2htDaolDUzj4HzDzNPFSGiWtEPASvWl1mV_Kv3HqE5Dxb,"Belleville, ON",Workopolis
Genomadix,Quality Specialist,https://www.workopolis.com/jobsearch/viewjob/3WQec7JdqcVoT_Nmm-YANGRLSZTktns4kvyjTJE9u_ZIaBMMAcWjZJF-ohR3glD0,"Kanata, ON",Workopolis
LandSure Systems,Quality Assurance (QA) Lead,https://www.workopolis.com/jobsearch/viewjob/8EU-mVrJk0_wJnrsE91o1r6sR3uzgsW5wJRq6VakffuwEn9IDNc8Ni0tY9NyB_8m,"Vancouver, BC",Workopolis
JumpDEMAND Inc.,Quality Assurance Specialist,https://www.workopolis.com/jobsearch/viewjob/yq2Ni2iTUqH3hC2Qawo6YZZ4M3QuxVYjdvt24DWmCi7VNSseaF7CeccsfkkjzhW9,"Calgary, AB",Workopolis
PakFab Engineered Solutions Corp,quality assurance technologist,https://www.workopolis.com/jobsearch/viewjob/peEUpQlQjlxSBBVaZDvRL0ZRoab173DrLHgb7DocV6uxLupTkt8uCzjjarrK357I,"Aylmer, ON",Workopolis
Morgan Stanley,QA Engineering Specialist (multiple opportunities),https://www.workopolis.com/jobsearch/viewjob/2TJdcWxyC_pOB4XR1sxZ5heqb10pGd4bLwD6rWSimbHbLtfmYB_BXE90pV4oEtIA,"Calgary, AB",Workopolis
Wordbank,Freelance Audiovisual Quality Control Specialist (Hiring for Multiple Languages),https://www.workopolis.com/jobsearch/viewjob/6G_cWTdcQ2JHfQPVHWpoEFKOmd__xV_TYusKXL1drmvK1lb8Eq8C1HDV8LQZWSGo,"Quebec City, QC",Workopolis
General Motors,Quality Engineer,https://www.workopolis.com/jobsearch/viewjob/ZZ-WNRjuEDdsQf5brcoJp5KWIkpFlXC6gV5LBwB2XNGgfcvksaXHj_G--N3FxzUf,"St. Catharines, ON",Workopolis
Pattison Food Group,QA Data Engineer,https://www.workopolis.com/jobsearch/viewjob/pgDBWbDCz76cDb1SDtAPMSU8KNxh32CSCW0zntxWOHeZukFGGRSUMVQ4eSz_wjwx,"Langley, BC",Workopolis
Survalent,Quality Control Analyst (Hybrid),https://www.workopolis.com/jobsearch/viewjob/FRwoRAZ-AkPUImb_kUKVs75FNvZ1-LvWh--XN0fD0WdWFhDo3zvrOIThDE89Vnkg,"Brampton, ON",Workopolis
01 Communique,QA Specialists:,https://www.workopolis.com/jobsearch/viewjob/EDwku-BXiWJLM8KsF2jMI13bw_kQm1R7Ussq_imEYmL7XAkovJvf7PA6-4WSdC-0,"Toronto, ON",Workopolis
Pure Sunfarms,"Associate, Quality Assurance",https://www.workopolis.com/jobsearch/viewjob/lAnCeMF-hxqreKATtk68Cda8Kl4foggS33_b8ToeIIlcIQjb4lbRXnFvXPVY-jCY,"Delta, BC",Workopolis
"Acuren Inspection, Inc.",Visual & QA/QC Inspectors Needed ??? Imperial Oil Spring Outage,https://www.workopolis.com/jobsearch/viewjob/1OC9CmfKrpZ3QKtpKPoNLUrmSMMXoRkPeCdkEdHZz3sl0QlcgjnaRoK7kdtWUZa8,"Edmonton, AB",Workopolis
"CAN - Canada, Langley, OS of Canada, Ltd (OSIS-2501)",Ag. Quality Specialist - West Coast,https://www.workopolis.com/jobsearch/viewjob/XinvIQTLrZ8rjGjr0oMbwEzJ-rZT-L_b2RUrCF668fZPWRMBkLwz8UL03QvNDz7a,"Richmond, BC",Workopolis
The Cup Store,Quality Control / Continuous Improvement Associate,https://www.workopolis.com/jobsearch/viewjob/_UMOj3NtBVdGivgoJ3EJhSWvnXxb7w8tlogBMgXrN2an16p9rrbTm-bjPvR0rBSb,"Concord, ON",Workopolis
TWO95 International INC,QA Analyst (Salesforce),https://www.workopolis.com/jobsearch/viewjob/LrdjF9boh6d96dsbiFOeOt1_E9ofX2016F1UKI_o81lI70OroKGVQIfPHB8YJavB,Remote,Workopolis
TribalScale,Agile Test Engineer - QA - Manual & Automation Experience Required,https://www.workopolis.com/jobsearch/viewjob/inHmUznf9RBUBT82hmU4c713l3dWMFvnJfhuvkGHI2-gSnR_--Aui7Mfiln2Cbpf,"Toronto, ON",Workopolis
Multiplex,"Project Lead, QA",https://www.workopolis.com/jobsearch/viewjob/yB3OIg0WpIqq2WgdIssUGOV129U6dMuzh-0NimgRYjcMcHOeBlCvONFirqUXlWxy,"Toronto, ON",Workopolis
Comm100 Network Corporation,Sr. Software QA Engineer,https://www.workopolis.com/jobsearch/viewjob/td5GTP4nf_AGGNtADtTkIURs9YMGpNdPNqG179U0x7vukvedjPRSuwQFLEyyG_Ba,"Vancouver, BC",Workopolis
Info-Ways,QA Lead,https://www.workopolis.com/jobsearch/viewjob/Cocr3BtjS6OMnqSGpeQh-sUi1rz8icZwdJY2l1wj2I613rdPzdZxh7mCWmFCpHru,"Toronto, ON",Workopolis
Aviagen Breeders Canada LTD,QA Coordinator,https://www.workopolis.com/jobsearch/viewjob/WHzGMY0dLBY-iwlw_nMlD0omv4fH7VLzdiJZ1wMSqDY3LC-yd7FooKzB3LFKMYbn,"Brantford, ON",Workopolis
High 5 Games,Senior QA Automation Engineer,https://www.workopolis.com/jobsearch/viewjob/BmEdXnuY7v4HSvXihJ-N3uexFZfLFnZo6TxxdcFxn2Pet7JQizsf-AGRi81HxBHQ,Remote,Workopolis
Almag Aluminum,Quality Engineer,https://www.workopolis.com/jobsearch/viewjob/mWCtiCQ2F7uqqFfDJO_Fo45JmG9JzOvpVt5WD9aRFJNVpN2Aa7ezqYiL-OYcWvtU,"Brampton, ON",Workopolis
Thornhill Medical,Quality Control/ Quality Assurance Associate,https://www.workopolis.com/jobsearch/viewjob/0zm5ab8u5TjhaVnoX6I9oYnQyXDG2jE1pF3et0wD_W07AHSQ4OC2y9pOC0NF-LLL,"North York, ON",Workopolis
NATIONAL ENGINEERED FASTENERS INC,Quality Specialist,https://www.workopolis.com/jobsearch/viewjob/YN17r6Es890C8PpaoR7Px4ZHy5hZh58qxiPKciGYpx-zTPXS2iMHTKPhekr0fGWw,"Breslau, ON",Workopolis
Sonele Inc.,Quality Assurance Specialist,https://www.workopolis.com/jobsearch/viewjob/6XxZgyylYg_kNiD-1BUH07ETUTOCUP7t2ygoIxPJ8zahqz36QtnxwJpNUIXR442i,"Markham, ON",Workopolis
Biospectra Inc,Quality Assurance Manager,https://www.workopolis.com/jobsearch/viewjob/RRYnEw047GlYsPcpiyLl1CEpfEMb0U-BIr-AJiNbSb1m_f7zjvLIS972aboJPjC_,"Toronto, ON",Workopolis
Mistras Group Inc. - Services,Quality Manager (QA-QC),https://www.workopolis.com/jobsearch/viewjob/i4Tt2_ek2GkY2d26EfJiEZd7fPU0MfgCnVaDOWXcXn1oF5MQVdu1DdNz0Z4l-V28,"Saint-Lambert, QC",Workopolis
Softline Technology,SYSTEMS TESTING/QA SPECIALIST,https://www.workopolis.com/jobsearch/viewjob/jBLcwfy3SUMxlCscAN1ax4q33KT0n0c-9pjVSDlZzLaktPed6AgKDHV2HotY3GAV,"Toronto, ON",Workopolis
ATS HEALTH AND BEAUTY CARE CORP,QA/QC Chemist,https://www.workopolis.com/jobsearch/viewjob/zdWQoeUCbKOqcGq2g0eyeNrRsQRpXsc-fhuPeFwoODm3WKYaVYKojUlqCKHyPSRr,"Woodbridge, ON",Workopolis
Puratos,QA/QC Specialist,https://www.workopolis.com/jobsearch/viewjob/itbLbxJwM4vdm0u5s-ce6mqIq7qg21dyFouPSyTeyRMCaxzuk7McCD3ejntelRgt,"Chilliwack, BC",Workopolis
Coilplus Inc,Quality Manager,https://www.workopolis.com/jobsearch/viewjob/gF8YfPrOsLNVoN8tGpR55eVbxUHPYMw5h3f0Wu6RQIljOMYz6LLLz5W5kYT5VwwN,"Ingersoll, ON",Workopolis
Connect Tech,Quality Systems Specialist,https://www.workopolis.com/jobsearch/viewjob/i-bMG43ZWwxIMZcKrbuxnH0SaNt12S7SNpWdOPPYToKhIJj749Rm8oPXv1oK95K3,"Guelph, ON",Workopolis
Recutify Inc.,Test Analyst - Senior,https://www.workopolis.com/jobsearch/viewjob/FcP1O2rF7JUs1mvF8aNBeea7ajBTdbQpyU1BMZgZAzAOpPUzNtzNFreyiCkTykV_,"Edmonton, AB",Workopolis
Cognizant,Data QA tester - Azure,https://www.workopolis.com/jobsearch/viewjob/6_A8sRjHpO_KVX3VA8VOoZGiw4LlBMvDQ4sxnUqJeIAdN4de1YQtNaD_LvaPJh0l,"Toronto, ON",Workopolis
ShoreWise Consulting,QA Analyst (Katalon + Groovy),https://www.workopolis.com/jobsearch/viewjob/_f4g31lVhVOYgmnItWSdTa35I6D2UIpvC98alOOuFzL1xOjB4FpZ9aQMDqB0YDUA,"Toronto, ON",Workopolis
Barton Malow Company,Quality Coordinator,https://www.workopolis.com/jobsearch/viewjob/se0Euw8XTWA6W3pnhN_Noxh7gIJrOvxm16gpBa6lVhDSiOS1_qnqLVqZh_75G2tE,"Woodstock, ON",Workopolis
Hooper Welding,Quality Assurance Lead,https://www.workopolis.com/jobsearch/viewjob/88jyx12IqdXef9OHWMl8g-MzaorgJiIFe-WG1abOSptTUw5urAhu0sBERNE3Lb3d,"Oakville, ON",Workopolis
Sapiens,Quality Assurance Analyst,https://www.workopolis.com/jobsearch/viewjob/G4bkINR0eIQ8mtG0CEAcMYR1w3t-SwGtvB9ghvgnFIDl_d_vBi6F0HZmtp_ZIyNV,Remote,Workopolis
Knak,Quality Assurance Analyst,https://www.workopolis.com/jobsearch/viewjob/y6bXNikh7zoVneepheiBwGJ_TOxSoSHv_FW36trTTy1UWANZ_70EVuR8kHXtZ3wA,"Ottawa, ON",Workopolis
DarkVision,Quality Assurance Manager,https://www.workopolis.com/jobsearch/viewjob/vdNYObMwYzHq6QUxJFeaJT_rFQMxZECAn3-A_wq592WvuOL2fDzmwsH_0ykJXeXy,"North Vancouver, BC",Workopolis
BMM Testlabs,Test Engineer,https://www.workopolis.com/jobsearch/viewjob/8U2oNfCu4-IG0FI_VCe4T0UNtZvYe23U9PdKCo6upKD4OveJ-qd8Hwt41TgaMyPF,"Dieppe, NB",Workopolis
Aritzia,"Information Technology - QA Manager, Retail Technology",https://www.workopolis.com/jobsearch/viewjob/sY8wuLXXn2GDS2_ZkDWEVirnpSmQb2f3nIuyTST3CX8d4v7JHNAj3OtG6xzgf9oE,"Vancouver, BC",Workopolis
Endeavour Solutions,Senior Quality Assurance Engineer,https://www.workopolis.com/jobsearch/viewjob/jCuu_-GMWnSEHx2X_QahQcgQpZGOBktNTVQs7KbUaQgwAayV8j81d-uTmuy85AMC,"Mississauga, ON",Workopolis
